Date,Time,Cow ID,Lying Time (min),Standing Time (min),Eating Time (min),Not Recognized (min),Temperature (°C),Weather Condition,Camera Field
2022-11-23,00:00,Cow_1,7,3,5,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_2,11,4,0,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_3,3,8,4,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_4,2,5,8,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_5,11,3,1,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_6,0,8,8,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_7,14,0,3,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_8,8,3,4,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_9,13,0,8,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_10,5,4,6,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_11,8,2,5,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_12,5,4,6,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_13,13,0,3,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_14,3,9,3,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_15,2,10,3,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_16,0,11,7,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_17,13,0,5,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_18,11,1,3,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_19,9,0,8,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_20,7,5,3,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_21,0,0,0,15,33.8,Clear,Field A
2022-11-23,00:00,Cow_22,4,7,4,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_23,1,4,10,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_24,13,10,0,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_25,12,6,0,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_26,13,7,0,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_27,0,11,5,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_28,13,5,0,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_29,6,6,3,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_30,11,8,0,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_31,6,6,3,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_32,8,1,6,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_33,4,6,5,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_34,11,9,0,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_35,3,9,3,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_36,2,8,5,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_37,7,5,3,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_38,5,7,3,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_39,9,8,0,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_40,12,0,9,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_41,10,0,6,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_42,8,0,8,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_43,9,1,5,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_44,6,3,6,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_45,6,1,8,0,33.8,Clear,Field A
2022-11-23,00:00,Cow_46,11,12,0,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_47,5,3,7,0,33.8,Clear,Field B
2022-11-23,00:00,Cow_48,13,0,6,0,33.8,Clear,Field C
2022-11-23,00:00,Cow_49,6,6,3,0,33.8,Clear,Field C
2022-11-23,00:15,Cow_1,12,0,7,0,29.0,Clear,Field B
2022-11-23,00:15,Cow_2,12,0,5,0,29.0,Clear,Field A
2022-11-23,00:15,Cow_3,7,2,6,0,29.0,Clear,Field A
2022-11-23,00:15,Cow_4,5,9,1,0,29.0,Clear,Field C
2022-11-23,00:15,Cow_5,10,3,2,0,29.0,Clear,Field B
2022-11-23,00:15,Cow_6,9,1,5,0,29.0,Clear,Field A
2022-11-23,00:15,Cow_7,8,7,0,0,29.0,Clear,Field B
2022-11-23,00:15,Cow_8,1,5,9,0,29.0,Clear,Field B
2022-11-23,00:15,Cow_9,8,3,4,0,29.0,Clear,Field A
2022-11-23,00:15,Cow_10,3,7,5,0,29.0,Clear,Field B
2022-11-23,00:15,Cow_11,14,0,6,0,29.0,Clear,Field C
2022-11-23,00:15,Cow_12,13,0,8,0,29.0,Clear,Field C
2022-11-23,00:15,Cow_13,1,9,5,0,29.0,Clear,Field B
2022-11-23,00:15,Cow_14,4,4,7,0,29.0,Clear,Field B
2022-11-23,00:15,Cow_15,4,6,5,0,29.0,Clear,Field A
2022-11-23,00:15,Cow_16,12,8,0,0,29.0,Clear,Field B
2022-11-23,00:15,Cow_17,6,5,4,0,29.0,Clear,Field C
2022-11-23,00:15,Cow_18,1,10,4,0,29.0,Clear,Field A
